# SIMULATED ACADEMIC DATA - FOR PLATFORM SIMULATION AND TESTING ONLY
donor_type,food_category,meal_type,day_of_week,event_type,prepared_quantity,expected_people,actual_people,previous_surplus,preparation_time,surplus_quantity
hotel,fresh_produce,all_day,5,none,131.87,211,211,15.14,3.59,4.86
hotel,bakery,snack,6,none,218.47,401,355,2.62,6.29,33.17
other,dairy,breakfast,3,none,393.55,929,959,21.32,2.82,0.0
caterer,bakery,lunch,5,weekend_rush,163.57,218,217,0.08,3.31,0.0
hotel,cooked_meals,breakfast,5,none,165.25,402,342,10.63,1.85,38.22
caterer,other,all_day,2,none,299.16,481,445,26.46,1.96,22.99
other,other,breakfast,4,none,203.34,348,282,13.13,4.18,42.12
hotel,dairy,all_day,1,none,244.39,530,498,13.68,4.54,14.22
restaurant,dairy,snack,0,corporate,380.88,635,481,14.08,1.45,101.75
other,dairy,breakfast,3,none,317.57,432,249,44.74,6.08,137.83
caterer,other,all_day,3,none,209.97,280,278,14.09,2.15,0.7
hotel,dairy,breakfast,1,wedding,210.82,306,326,4.73,6.48,0.0
other,fresh_produce,snack,5,holiday,352.41,557,245,21.16,1.58,218.72
supermarket,other,lunch,2,none,51.24,96,68,6.07,1.28,2.23
other,fresh_produce,lunch,1,wedding,387.18,640,702,25.13,3.37,0.0
restaurant,other,lunch,6,none,198.96,276,248,16.26,7.47,21.68
restaurant,fresh_produce,lunch,6,none,238.78,491,540,9.3,5.07,0.0
restaurant,cooked_meals,all_day,6,none,141.82,278,220,11.77,7.59,38.94
hotel,cooked_meals,snack,4,wedding,327.08,445,439,23.17,3.76,8.01
caterer,other,all_day,6,none,144.39,181,138,11.42,3.27,32.22
restaurant,dairy,breakfast,1,weekend_rush,379.78,710,559,46.46,5.39,102.22
hotel,meat_poultry,dinner,3,corporate,213.69,280,197,31.94,3.09,89.68
restaurant,other,lunch,5,none,78.83,151,142,3.18,6.8,7.67
supermarket,meat_poultry,breakfast,0,none,197.2,343,272,28.15,7.88,46.89
hotel,bakery,snack,2,none,88.5,135,97,9.59,5.79,38.04
hotel,dairy,lunch,2,wedding,100.28,211,170,6.22,5.05,24.49
hotel,other,lunch,3,none,237.29,349,336,9.11,2.05,15.19
hotel,other,breakfast,0,wedding,347.97,672,739,1.15,7.68,0.0
caterer,fresh_produce,breakfast,0,none,152.43,209,204,11.28,4.49,10.28
restaurant,other,snack,3,none,73.42,138,103,5.63,4.96,19.11
caterer,dairy,breakfast,3,none,306.73,669,559,7.26,5.39,71.06
supermarket,cooked_meals,snack,2,none,399.68,571,566,20.48,1.2,14.39
restaurant,fresh_produce,dinner,3,corporate,52.07,93,51,2.88,5.57,27.62
supermarket,fresh_produce,lunch,3,none,317.4,476,409,3.8,6.96,54.36
caterer,fresh_produce,breakfast,2,none,300.98,699,614,14.82,4.45,63.27
caterer,other,dinner,0,weekend_rush,119.73,242,221,5.64,3.62,4.34
supermarket,meat_poultry,snack,6,none,325.15,550,473,33.98,7.3,53.92
other,dairy,breakfast,4,none,315.6,657,553,9.34,1.65,59.83
restaurant,dairy,lunch,1,none,321.97,680,563,22.86,5.77,68.33
other,cooked_meals,all_day,2,none,43.66,56,46,1.41,4.69,3.26
supermarket,cooked_meals,breakfast,4,none,345.27,455,313,19.91,5.54,126.54
supermarket,fresh_produce,snack,0,none,185.45,431,474,10.09,5.29,0.0
hotel,bakery,snack,3,none,36.18,45,45,0.78,2.17,6.3
caterer,cooked_meals,breakfast,5,none,285.98,391,300,18.84,7.65,106.13
hotel,cooked_meals,dinner,3,wedding,364.23,663,624,3.4,4.65,32.48
restaurant,other,all_day,3,none,65.86,108,95,1.05,4.85,4.57
caterer,other,dinner,6,holiday,101.34,158,97,13.73,1.5,45.26
other,other,breakfast,5,weekend_rush,130.34,224,167,8.24,7.25,36.17
hotel,bakery,breakfast,2,none,58.51,105,78,6.29,1.32,19.82
other,dairy,snack,6,holiday,233.14,301,218,23.38,7.57,70.53
hotel,fresh_produce,all_day,2,corporate,123.83,241,133,6.34,6.58,75.35
supermarket,other,breakfast,3,wedding,242.09,376,295,13.34,5.1,49.41
